Feature_ID,Pass_N,Fail_N,Pass_Mean,Fail_Mean,F_stat,p_value,Eta_Squared,BH_Adjusted_p,BH_Significant,Bonferroni_Adjusted_p,Bonferroni_Significant
160,1462,103,541.6046511627907,750.3980582524272,12.791436174386881,0.00035881707280544526,0.008117467756672915,0.011761226275289595,True,0.2117020729552127,False
316,1462,104,6.00126073871409,5.635603846153846,12.604121193313127,0.0003962922330293938,0.007994474341328753,0.012305916709860124,True,0.23381241748734236,False
164,1462,103,0.12227633378932967,0.20836893203883494,12.211246424199047,0.00048827889773437656,0.0077521325802613035,0.013747519251791651,True,0.2880845496632822,False
299,1462,103,0.0572109439124487,0.10364271844660194,12.207247381158725,0.0004893184818434317,0.007749613520032833,0.013747519251791651,True,0.2886979042876247,False
300,1462,103,0.11345389876880985,0.1883961165048544,11.326866395434136,0.0007824475618994338,0.007194736135938563,0.020094167769163312,True,0.46164406152066595,False
121,1454,104,15.794160935350757,15.828076923076923,11.324953797309423,0.0007833319638826376,0.00722565781261316,0.020094167769163312,True,0.4621658586907562,False
165,1462,103,0.2429199726402189,0.3812718446601943,11.172867688192644,0.0008496254037642502,0.007097611652144009,0.020886624509204487,True,0.5012789882209077,False
125,1454,104,1.191248280605227,1.0969807692307691,11.028273733785799,0.0009181031843017917,0.007037699267230543,0.021667235149522283,True,0.5416808787380571,False
294,1462,103,391.4182911080711,549.3839077669903,10.615226155797808,0.0011456777984266335,0.006745757145302835,0.02599807311814284,True,0.6759499010717138,False
26,1462,103,1.9425754445964432,1.8803,10.455042147901235,0.0012486739270990972,0.006644639896179783,0.027285837666239533,True,0.7367176169884674,False
33,1462,104,8.931261764705882,9.368187499999998,10.315450449842261,0.0013460415775425289,0.006552340223107545,0.02836301895536043,True,0.794164530750092,False
